"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput"
1.1,4.5,0.52875369,0.52029754,0.53736334,0.21941817,0.18550001,0.25433242,0.2110151,0.00416316,-0.01455299,0.02282088,0.92523318,2.56916984,0.83805204,1.15039271,0.43431517,1.82168481
1.1,5,0.55537655,0.54695749,0.5641517,0.29534364,0.25743102,0.32969133,0.21395498,0.00556826,-0.01198598,0.02187668,0.99231205,2.7243819,0.92139346,1.18590266,0.38854194,1.83440594
1.1,5.5,0.56830837,0.56090031,0.57620259,0.32964831,0.29131903,0.37034897,0.20915492,-0.00057681,-0.01857554,0.01607076,1.03066719,2.89120049,0.9588145,1.23936599,0.38523636,1.85549771
1.2,1.5,0.21506928,0.20060182,0.22930585,-0.01590924,-0.02608383,-0.00600236,0.1085785,-0.00822821,-0.02070176,0.00363119,0.80772538,1.27547517,0.61640043,1.04911515,0.30751887,2.41960471
1.2,2,0.30839034,0.29678407,0.31892272,0.00701771,-0.00842464,0.02384057,0.14277379,0.01036557,-0.00516465,0.02673858,0.8144579,1.49700955,0.65133142,1.05717791,0.36665335,2.22006558
1.2,2.5,0.37700436,0.36725767,0.38530584,0.04745803,0.0291016,0.06552172,0.1629751,-0.00139355,-0.01559437,0.01196875,0.81306468,1.69743843,0.66460979,1.06315458,0.42204257,2.10701007
1.2,3,0.42392923,0.41489441,0.43170957,0.09284295,0.06786642,0.11536374,0.17718152,0.00525953,-0.00950905,0.0188769,0.84541477,1.9141706,0.71758842,1.08748584,0.41255884,2.01311443
1.2,3.5,0.46241344,0.45387988,0.47028395,0.15451724,0.1280452,0.17830284,0.18756822,0.00449228,-0.00933594,0.01842239,0.87945921,2.07372959,0.76925977,1.10802367,0.40667153,1.92764716
1.2,4,0.48881963,0.48082261,0.49691162,0.17352042,0.14250304,0.2021889,0.19043851,-0.01658466,-0.03328684,0.00070438,0.88768109,2.281391,0.78786762,1.11394168,0.40893691,1.89470868
1.2,4.5,0.52461258,0.51425554,0.53531373,0.20353989,0.16453147,0.24057264,0.1943384,0.00943645,-0.00671994,0.02634218,0.92313156,2.44900086,0.83302756,1.1413251,0.40561846,1.85665629
1.2,5,0.54480678,0.53575984,0.55392428,0.2846957,0.25249717,0.31662803,0.20020233,-0.00658084,-0.02503444,0.01118566,0.98778697,2.63747049,0.90915672,1.1950091,0.36119065,1.88883054
1.2,5.5,0.55531401,0.54625741,0.5634532,0.2879564,0.24768403,0.3248116,0.19625898,0.00675955,-0.01080099,0.02474929,0.9894122,2.79054895,0.91386844,1.19952312,0.3715324,1.88295898
1.3,1.5,0.20236719,0.18827727,0.21457036,-0.0076235,-0.01898054,0.0041725,0.09767021,-0.01180106,-0.02448888,0.00161933,0.81244374,1.2266065,0.61421073,1.05455036,0.27229063,2.46394553
1.3,2,0.28134161,0.27047904,0.28987067,-0.00028132,-0.01528723,0.01414937,0.12393574,-0.000813600000000001,-0.01324499,0.01117949,0.81585558,1.42117624,0.64583716,1.05603114,0.33559045,2.28290457
1.3,2.5,0.35682862,0.34942733,0.36455644,0.02957301,0.00973693,0.04989184,0.14742817,-0.00071742,-0.01344339,0.0111296,0.82355587,1.6620072,0.68095412,1.06045168,0.37815887,2.15017672
1.3,3,0.40911576,0.39531736,0.42078864,0.06638911,0.04245433,0.08822018,0.16247901,-0.0013809,-0.01579628,0.01270061,0.83630461,1.86532242,0.7003886,1.08774287,0.39497172,2.0757712
1.3,3.5,0.44754483,0.43854811,0.4569537,0.10546069,0.07798525,0.13376288,0.1714415,0.00922912,-0.004894,0.02326225,0.85910006,2.01335643,0.74239117,1.09157323,0.39654561,1.99790944
1.3,4,0.47778536,0.46852986,0.48674122,0.13161496,0.09894015,0.16057273,0.17532496,0.00348663,-0.01388311,0.01958852,0.87302,2.15813848,0.76978868,1.09564643,0.39569562,1.93268061
1.3,4.5,0.51415664,0.50578607,0.52168029,0.1825372,0.15035248,0.21149947,0.18730506,0.01331454,-0.00311403,0.02966202,0.9171127,2.34907574,0.825267,1.13126513,0.39200092,1.91091379
1.3,5,0.53248051,0.52357774,0.54190574,0.2312775,0.19905213,0.26445314,0.18500722,-0.00881732,-0.02613823,0.00772452,0.93905586,2.4907115,0.84727131,1.16805164,0.36881694,1.91668234
1.3,5.5,0.55128799,0.54142806,0.56117534,0.27764809,0.24409337,0.30895835,0.18527553,-0.01278773,-0.0311528,0.00681049,0.98345623,2.67897889,0.90858999,1.18411069,0.34155543,1.83935591
1.4,1.5,0.1799605,0.16768534,0.19094352,-0.02498208,-0.03488547,-0.01482377,0.08148344,-0.00751838,-0.02121455,0.00476435,0.8205731,1.14745938,0.61740882,1.0525728,0.2417519,2.52268952
1.4,2,0.26243319,0.24802515,0.27275596,-0.01236331,-0.02369359,-0.00070784,0.10977336,0.00850198,-0.00418043,0.02059165,0.81982665,1.35240531,0.64604111,1.053438,0.30424442,2.35868866
1.4,2.5,0.33707674,0.32851872,0.34571829,0.01347979,-0.00193611,0.02940547,0.13431696,-0.0054793,-0.02101943,0.01029243,0.81653159,1.57433677,0.66310897,1.05725599,0.35171919,2.16445529
1.4,3,0.39172214,0.38414629,0.3991064,0.04793575,0.02844254,0.06521181,0.15150539,0.00761637,-0.00679711,0.02149746,0.82341648,1.7550827,0.69126062,1.05479337,0.35784156,2.05506
1.4,3.5,0.42724175,0.41203477,0.43907993,0.09265063,0.06805097,0.1173213,0.15510619,0.00383726,-0.01129551,0.01941242,0.8466767,1.95420917,0.72255393,1.08737282,0.35947642,2.04189
1.4,4,0.47948026,0.46979596,0.48940905,0.12728073,0.09972968,0.15267514,0.16544214,-0.00823881,-0.02391854,0.00707735,0.87861197,2.11105475,0.77106158,1.10396904,0.37465149,1.95322209
1.4,4.5,0.49893819,0.48959629,0.50836676,0.21061665,0.18330088,0.23704246,0.17041933,-0.01498225,-0.03131689,0.00050919,0.92018958,2.28841116,0.82345485,1.14112479,0.35446025,1.9586246
1.4,5,0.520001,0.51099306,0.53037175,0.21128327,0.17771251,0.24531728,0.17335268,0.00245958,-0.01398438,0.01908347,0.9372553,2.4509016,0.84582999,1.16088839,0.35408726,1.9361638
1.4,5.5,0.54539379,0.53733886,0.55427517,0.25308586,0.21954333,0.28794196,0.1750413,-0.0023035,-0.02254351,0.01655023,0.96636468,2.55652557,0.88581344,1.17185643,0.3391074,1.89662661
1.5,1.5,0.13815163,0.11783627,0.15754987,-0.02193677,-0.03138485,-0.01211503,0.06425458,0.00301068,-0.01061501,0.0172994,0.82605912,1.09907466,0.61095181,1.05840356,0.18247528,2.63392388
1.5,2,0.24294186,0.22660148,0.25718654,-0.01664049,-0.0283521,-0.00483739,0.09739191,-0.00423432,-0.01556935,0.00679455,0.81203199,1.34108002,0.62617678,1.05785194,0.27512806,2.40597925
