"mim_val","mom_val","a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.001,0.001,1,1.7,0.134579493333333,0.131052567666667,0.138256168,-0.0253440123333333,-0.0289419443333333,-0.0215981076666667,0.155059397,-0.00559095433333333,-0.00981248833333333,-0.001813925,0.861852883,1.44370721433333,0.681602432,1.10373519633333,0.364838927,2.258494403,3000
0.001,0.021,1,1.7,0.122973704333333,0.119590244,0.126404613666667,-0.0131967713333333,-0.0166942606666667,-0.00965618433333333,0.147037265,0.000214030666666667,-0.00374675233333333,0.003910168,0.864032556666667,1.43643773733333,0.665934345333333,1.12675177566667,0.346910593,2.37240119333333,3000
0.001,0.041,1,1.7,0.103361868,0.0997344446666667,0.106800478666667,-0.005511293,-0.00942312866666667,-0.00177967866666667,0.134445741,0.005913449,0.00219667333333333,0.009770129,0.869686922666667,1.406922429,0.649725201666667,1.15351659266667,0.315136960666667,2.51576125133333,3000
0.001,0.061,1,1.7,0.0891281086666667,0.0852585443333333,0.093167813,-0.00665024766666667,-0.0105147633333333,-0.00254737966666667,0.126188677333333,-0.00630542766666667,-0.0104768883333333,-0.00258266233333333,0.870277904666667,1.40341648,0.634040075333333,1.17383941933333,0.294607646333333,2.631499261,3000
0.001,0.081,1,1.7,0.0831891326666667,0.078922471,0.0870381606666667,0.014079187,0.009583189,0.0180679093333333,0.121599842666667,0.00189856733333333,-0.00211019466666667,0.005764328,0.881446901333333,1.41460607733333,0.626111854666667,1.21086159533333,0.272488994333333,2.75607095066667,3000
0.021,0.001,1,1.7,0.144408568666667,0.140989636666667,0.147643743333333,-0.0431448476666667,-0.0464437836666667,-0.039578149,0.160809272,0.000557160666666666,-0.00336632733333333,0.00468179566666667,0.851953291666667,1.469375324,0.690283656,1.07349653966667,0.381994963,2.156898374,3000
0.021,0.021,1,1.7,0.129737497666667,0.126261374666667,0.133098165666667,-0.026542074,-0.0299028713333333,-0.022940718,0.151203461333333,0.00227871166666667,-0.001781566,0.00603846166666667,0.859530527666667,1.4515314,0.680911061333333,1.099655353,0.358227135333333,2.26878531833333,3000
0.021,0.041,1,1.7,0.119394546666667,0.115804162333333,0.122857948,-0.01583415,-0.0197100583333333,-0.012458526,0.144123091333333,-0.00507767233333333,-0.009009784,-0.001176266,0.861708616333333,1.45839188633333,0.666444832333333,1.12424283466667,0.339809936,2.37882214066667,3000
0.021,0.061,1,1.7,0.105044091666667,0.10131888,0.108622685,-0.010078192,-0.01396208,-0.00605630266666667,0.135644184333333,0.000556171,-0.00377130033333333,0.00412516833333333,0.867606306666667,1.44621334633333,0.654300285666667,1.15143724633333,0.319091976333333,2.49963295766667,3000
0.021,0.081,1,1.7,0.0963383503333333,0.092555652,0.100168235666667,0.000572714666666667,-0.00331677466666667,0.00471262333333333,0.128995640666667,-0.000323847666666667,-0.00436757,0.003761138,0.871516410666667,1.45159142066667,0.641409213666667,1.17711426133333,0.298598716666667,2.61333799666667,3000
0.041,0.001,1,1.7,0.152772843,0.149632518,0.155990015666667,-0.0530302656666667,-0.0561085643333333,-0.0500628806666667,0.164862717333333,-0.00145972533333333,-0.00508896033333333,0.00236039833333333,0.845401584,1.48903446733333,0.699743928333333,1.049697111,0.394469957333333,2.06790927266667,3000
0.041,0.021,1,1.7,0.150500973666667,0.147312229333333,0.153957356333333,-0.03658306,-0.03978638,-0.0331532256666667,0.163693476333333,0.005385944,0.00173873266666667,0.00938181533333333,0.851111546333333,1.51133470633333,0.693534070333333,1.07441690466667,0.389262669666667,2.14171687,3000
0.041,0.041,1,1.7,0.129311994666667,0.125998355,0.132873749666667,-0.0302245526666667,-0.0337108363333333,-0.026748397,0.149837382,0.001110328,-0.00271162333333333,0.005034566,0.857651735333333,1.48505412,0.68307694,1.097347577,0.354275359666667,2.26759244166667,3000
0.041,0.061,1,1.7,0.119813357666667,0.116420912666667,0.123075606333333,-0.0190321406666667,-0.0223599496666667,-0.0151359403333333,0.143024722666667,-6.76466666666666e-05,-0.003997657,0.003805476,0.858483873333333,1.486898592,0.668588277333333,1.119836581,0.342537537666667,2.374736705,3000
